id,name,description,import_only,weblink_id
110,ME-QSO-PARTY,Maine QSO Party,f,
111,MI-QSO-PARTY,Michigan QSO Party,f,
112,MIDATLANTIC-QSO-PARTY,Mid-Atlantic QSO Party,f,
113,MN-QSO-PARTY,Minnesota QSO Party,f,
114,MO-QSO-PARTY,Missouri QSO Party,f,
115,MS-QSO-PARTY,Mississippi QSO Party,f,
116,MT-QSO-PARTY,Montana QSO Party,f,
117,NA-SPRINT-CW,North America Sprint (CW),f,
118,NA-SPRINT-RTTY,North America Sprint (RTTY),f,
119,NA-SPRINT-SSB,North America Sprint (Phone),f,
120,NAQP-CW,North America QSO Party (CW),f,
121,NAQP-RTTY,North America QSO Party (RTTY),f,
122,NAQP-SSB,North America QSO Party (Phone),f,
123,NC-QSO-PARTY,North Carolina QSO Party,f,
124,ND-QSO-PARTY,North Dakota QSO Party,f,
125,NE-QSO-PARTY,Nebraska QSO Party,f,
126,NEQP,New England QSO Party,f,
127,NH-QSO-PARTY,New Hampshire QSO Party,f,
128,NJ-QSO-PARTY,New Jersey QSO Party,f,
129,NM-QSO-PARTY,New Mexico QSO Party,f,
130,NRAU-BALTIC-CW,NRAU-Baltic Contest (CW),f,
131,NRAU-BALTIC-SSB,NRAU-Baltic Contest (SSB),f,
132,NV-QSO-PARTY,Nevada QSO Party,f,
133,NY-QSO-PARTY,New York QSO Party,f,
134,OCEANIA-DX-CW,Oceania DX Contest (CW),f,
135,OCEANIA-DX-SSB,Oceania DX Contest (SSB),f,
136,OH-QSO-PARTY,Ohio QSO Party,f,
137,OK-DX-RTTY,Czech Radio Club OK DX Contest,f,
138,OK-OM-DX,Czech Radio Club OK-OM DX Contest,f,
139,OK-QSO-PARTY,Oklahoma QSO Party,f,
140,OMISS-QSO-PARTY,Old Man International Sideband Society QSO Party,f,
141,ON-QSO-PARTY,Ontario QSO Party,f,
142,OR-QSO-PARTY,Oregon QSO Party,f,
143,PA-QSO-PARTY,Pennsylvania QSO Party,f,
144,PACC,Dutch PACC Contest,f,
